H010001,NAME,state,county
269442,"Madison County, Alabama",01,089
22621,"Summit County, Colorado",08,117
36525,"Bonner County, Idaho",16,017
7920,"Decatur County, Iowa",19,053
29553,"Marshall County, Kentucky",21,157
47168,"Clay County, Minnesota",27,027
8254,"Shannon County, Missouri",29,203
45479,"Cortland County, New York",36,023
22840,"Meigs County, Ohio",39,105
35079,"Newberry County, South Carolina",45,071
4415,"Garza County, Texas",48,169
57493,"Henry County, Virginia",51,089
148438,"Winnebago County, Wisconsin",55,139
22346,"Marengo County, Alabama",01,091
20435,"Teller County, Colorado",08,119
81396,"Bonneville County, Idaho",16,019
18150,"Delaware County, Iowa",19,055
12494,"Martin County, Kentucky",21,159
8243,"Clearwater County, Minnesota",27,029
6543,"Shelby County, Missouri",29,205
46037,"Delaware County, New York",36,025
40405,"Mercer County, Ohio",39,107
65575,"Oconee County, South Carolina",45,073
20257,"Gillespie County, Texas",48,171
2536,"Highland County, Virginia",51,091
74349,"Wood County, Wisconsin",55,141
30307,"Marion County, Alabama",01,093
4887,"Washington County, Colorado",08,121
9659,"Boundary County, Idaho",16,021
41431,"Des Moines County, Iowa",19,057
16468,"Mason County, Kentucky",21,161
5111,"Cook County, Minnesota",27,031
28892,"Stoddard County, Missouri",29,207
261987,"Dutchess County, New York",36,027
97469,"Miami County, Ohio",39,109
87925,"Orangeburg County, South Carolina",45,075
1406,"Glasscock County, Texas",48,173
29548,"Isle of Wight County, Virginia",51,093
29603,"Albany County, Wyoming",56,001
81259,"Marshall County, Alabama",01,095
175959,"Weld County, Colorado",08,123
2878,"Butte County, Idaho",16,023
16139,"Dickinson County, Iowa",19,059
26241,"Meade County, Kentucky",21,163
11761,"Cottonwood County, Minnesota",27,033
28397,"Stone County, Missouri",29,209
919474,"Erie County, New York",36,029
15036,"Monroe County, Ohio",39,111
103348,"Pickens County, South Carolina",45,077
6805,"Goliad County, Texas",48,175
46857,"James City County, Virginia",51,095
11214,"Big Horn County, Wyoming",56,003
391775,"Mobile County, Alabama",01,097
9706,"Yuma County, Colorado",08,125
988,"Camas County, Idaho",16,025
84597,"Dubuque County, Iowa",19,061
6313,"Menifee County, Kentucky",21,165
54058,"Crow Wing County, Minnesota",27,035
7068,"Sullivan County, Missouri",29,211
35943,"Essex County, New York",36,031
543455,"Montgomery County, Ohio",39,113
292665,"Richland County, South Carolina",45,079
18265,"Gonzales County, Texas",48,177
6630,"King and Queen County, Virginia",51,097
33377,"Campbell County, Wyoming",56,005
24083,"Monroe County, Alabama",01,099
864591,"Fairfield County, Connecticut",09,001
128501,"Canyon County, Idaho",16,027
10490,"Emmet County, Iowa",19,063
20671,"Mercer County, Kentucky",21,167
353583,"Dakota County, Minnesota",27,037
38242,"Taney County, Missouri",29,213
44155,"Franklin County, New York",36,033
14712,"Morgan County, Ohio",39,115
18919,"Saluda County, South Carolina",45,081
21033,"Gray County, Texas",48,179
16448,"King George County, Virginia",51,099
14666,"Carbon County, Wyoming",56,007
211467,"Montgomery County, Alabama",01,101
830338,"Hartford County, Connecticut",09,003
7241,"Caribou County, Idaho",16,029
21176,"Fayette County, Iowa",19,065
9910,"Metcalfe County, Kentucky",21,169
17539,"Dodge County, Minnesota",27,039
22661,"Texas County, Missouri",29,215
53146,"Fulton County, New York",36,035
31257,"Morrow County, Ohio",39,117
246352,"Spartanburg County, South Carolina",45,083
107622,"Grayson County, Texas",48,181
13047,"King William County, Virginia",51,101
11958,"Converse County, Wyoming",56,009
16131,"Henry County, Alabama",01,067
4391,"Phillips County, Colorado",08,095
845211,"Honolulu County, Hawaii",15,003
17904,"Cedar County, Iowa",19,031
13880,"Lewis County, Kentucky",21,135
29517,"Becker County, Minnesota",27,005
6533,"Reynolds County, Missouri",29,179
279008,"Albany County, New York",36,001
51038,"Knox County, Ohio",39,083
52127,"Kershaw County, South Carolina",45,055
27865,"Fannin County, Texas",48,147
46240,"Franklin County, Virginia",51,067
109080,"Sheboygan County, Wisconsin",55,117
87639,"Houston County, Alabama",01,069
14544,"Pitkin County, Colorado",08,097
57831,"Kauai County, Hawaii",15,007
44986,"Cerro Gordo County, Iowa",19,033
23120,"Lincoln County, Kentucky",21,137
37752,"Beltrami County, Minnesota",27,007
13350,"Ripley County, Missouri",29,181
45623,"Allegany County, New York",36,003
224611,"Lake County, Ohio",39,085
19674,"Hampton County, South Carolina",45,049
21244,"Fayette County, Texas",48,149
58423,"Frederick County, Virginia",51,069
19409,"Taylor County, Wisconsin",55,119
110625,"Lee County, Alabama",01,081
5881,"Saguache County, Colorado",08,109
9029,"Benewah County, Idaho",16,009
49126,"Clinton County, Iowa",19,045
9821,"McLean County, Kentucky",21,149
69186,"Carver County, Minnesota",27,019
22101,"Saline County, Missouri",29,195
85557,"Chemung County, New York",36,015
35787,"Madison County, Ohio",39,097
213131,"Lexington County, South Carolina",45,063
16324,"Freestone County, Texas",48,161
8485,"Greensville County, Virginia",51,081
116195,"Washington County, Wisconsin",55,131
63033,"Limestone County, Alabama",01,083
553,"San Juan County, Colorado",08,111
41332,"Bingham County, Idaho",16,011
16300,"Crawford County, Iowa",19,047
65573,"Madison County, Kentucky",21,151
26717,"Cass County, Minnesota",27,021
4116,"Schuyler County, Missouri",29,197
50143,"Chenango County, New York",36,017
250308,"Mahoning County, Ohio",39,099
8512,"McCormick County, South Carolina",45,065
14112,"Frio County, Texas",48,163
36431,"Halifax County, Virginia",51,083
355014,"Waukesha County, Wisconsin",55,133
13426,"Lowndes County, Alabama",01,085
6577,"San Miguel County, Colorado",08,113
18638,"Blaine County, Idaho",16,013
40291,"Dallas County, Iowa",19,049
13157,"Magoffin County, Kentucky",21,153
12791,"Chippewa County, Minnesota",27,023
4859,"Scotland County, Missouri",29,199
72797,"Clinton County, New York",36,019
61559,"Marion County, Ohio",39,101
35132,"Marion County, South Carolina",45,067
14372,"Gaines County, Texas",48,165
84197,"Hanover County, Virginia",51,085
49930,"Waupaca County, Wisconsin",55,135
21820,"Macon County, Alabama",01,087
2690,"Sedgwick County, Colorado",08,115
6594,"Boise County, Idaho",16,015
8357,"Davis County, Iowa",19,051
17061,"Marion County, Kentucky",21,155
40346,"Chisago County, Minnesota",27,025
39852,"Scott County, Missouri",29,201
60371,"Columbia County, New York",36,021
149576,"Medina County, Ohio",39,103
27183,"Marlboro County, South Carolina",45,069
246002,"Galveston County, Texas",48,167
258488,"Henrico County, Virginia",51,087
22684,"Waushara County, Wisconsin",55,137
109357,"Morgan County, Alabama",01,103
179682,"Litchfield County, Connecticut",09,005
21094,"Cassia County, Idaho",16,031
16405,"Floyd County, Iowa",19,067
11625,"Monroe County, Kentucky",21,171
32145,"Douglas County, Minnesota",27,041
19400,"Vernon County, Missouri",29,217
58931,"Genesee County, New York",36,037
82111,"Muskingum County, Ohio",39,119
101201,"Sumter County, South Carolina",45,085
108285,"Gregg County, Texas",48,183
11146,"Lancaster County, Virginia",51,103
5787,"Crook County, Wyoming",56,011
11390,"Perry County, Alabama",01,105
148844,"Middlesex County, Connecticut",09,007
1022,"Clark County, Idaho",16,033
10493,"Franklin County, Iowa",19,069
22154,"Montgomery County, Kentucky",21,173
15731,"Faribault County, Minnesota",27,043
24255,"Warren County, Missouri",29,219
44252,"Greene County, New York",36,039
11844,"Noble County, Ohio",39,121
29455,"Union County, South Carolina",45,087
20821,"Grimes County, Texas",48,185
11955,"Lunenburg County, Virginia",51,111
34984,"Fremont County, Wyoming",56,013
20738,"Pickens County, Alabama",01,107
796334,"New Haven County, Connecticut",09,009
8331,"Clearwater County, Idaho",16,035
7835,"Fremont County, Iowa",19,071
12105,"Morgan County, Kentucky",21,175
20602,"Fillmore County, Minnesota",27,045
22169,"Washington County, Missouri",29,221
5284,"Hamilton County, New York",36,041
40348,"Ottawa County, Ohio",39,123
36882,"Williamsburg County, South Carolina",45,089
87411,"Guadalupe County, Texas",48,187
23354,"Lee County, Virginia",51,105
12047,"Goshen County, Wyoming",56,015
28407,"Pike County, Alabama",01,109
247208,"New London County, Connecticut",09,011
4271,"Custer County, Idaho",16,037
10120,"Greene County, Iowa",19,073
30306,"Muhlenberg County, Kentucky",21,177
31994,"Freeborn County, Minnesota",27,047
13117,"Wayne County, Missouri",29,223
63319,"Herkimer County, New York",36,043
20168,"Paulding County, Ohio",39,125
160407,"York County, South Carolina",45,091
34198,"Hale County, Texas",48,189
168748,"Loudoun County, Virginia",51,107
4737,"Hot Springs County, Wyoming",56,017
13505,"Crenshaw County, Alabama",01,041
244374,"Larimer County, Colorado",08,069
6219,"Warren County, Georgia",13,301
14263,"Allamakee County, Iowa",19,005
13384,"Jackson County, Kentucky",21,109
25136,"Roscommon County, Michigan",26,143
9468,"Ozark County, Missouri",29,153
9967,"Quay County, New Mexico",35,037
140105,"Greene County, Ohio",39,057
33752,"Chester County, South Carolina",45,023
423826,"Denton County, Texas",48,121
12241,"Charlotte County, Virginia",51,037
7094,"Pepin County, Wisconsin",55,091
101416,"Etowah County, Alabama",01,055
23392,"Montezuma County, Colorado",08,083
7102,"Wilcox County, Georgia",13,315
20686,"Buchanan County, Iowa",19,019
13159,"Larue County, Kentucky",21,123
74347,"Van Buren County, Michigan",26,159
25392,"Polk County, Missouri",29,167
13004,"Sierra County, New Mexico",35,051
40449,"Highland County, Ohio",39,071
22002,"Edgefield County, South Carolina",45,037
119412,"Ector County, Texas",48,135
23535,"Dinwiddie County, Virginia",51,053
148837,"Rock County, Wisconsin",55,105
18155,"Fayette County, Alabama",01,057
32882,"Montrose County, Colorado",08,085
10552,"Wilkes County, Georgia",13,317
19030,"Buena Vista County, Iowa",19,021
52046,"Laurel County, Kentucky",21,125
301593,"Washtenaw County, Michigan",26,161
35956,"Pulaski County, Missouri",29,169
4158,"Union County, New Mexico",35,059
27516,"Hocking County, Ohio",39,073
23033,"Fairfield County, South Carolina",45,039
2134,"Edwards County, Texas",48,137
9829,"Essex County, Virginia",51,057
14942,"Rusk County, Wisconsin",55,107
30821,"Franklin County, Alabama",01,059
26687,"Morgan County, Colorado",08,087
10137,"Wilkinson County, Georgia",13,319
15016,"Butler County, Iowa",19,023
15425,"Lawrence County, Kentucky",21,127
2028544,"Wayne County, Michigan",26,163
5166,"Putnam County, Missouri",29,171
17504,"Socorro County, New Mexico",35,053
38032,"Holmes County, Ohio",39,075
121895,"Florence County, South Carolina",45,041
109427,"Ellis County, Texas",48,139
959452,"Fairfax County, Virginia",51,059
62219,"St. Croix County, Wisconsin",55,109
25490,"Geneva County, Alabama",01,061
19743,"Otero County, Colorado",08,089
147,"Kalawao County, Hawaii",15,005
10438,"Calhoun County, Iowa",19,025
7203,"Lee County, Kentucky",21,129
30113,"Wexford County, Michigan",26,165
9521,"Ralls County, Missouri",29,173
29679,"Taos County, New Mexico",35,055
58908,"Huron County, Ohio",39,077
55216,"Georgetown County, South Carolina",45,043
666878,"El Paso County, Texas",48,141
54571,"Fauquier County, Virginia",51,061
54344,"Sauk County, Wisconsin",55,111
9896,"Greene County, Alabama",01,063
3724,"Ouray County, Colorado",08,091
21759,"Worth County, Georgia",13,321
20893,"Carroll County, Iowa",19,027
12291,"Leslie County, Kentucky",21,131
15127,"Aitkin County, Minnesota",27,001
22366,"Randolph County, Missouri",29,175
16387,"Torrance County, New Mexico",35,057
32203,"Jackson County, Ohio",39,079
368791,"Greenville County, South Carolina",45,045
31193,"Erath County, Texas",48,143
13819,"Floyd County, Virginia",51,063
15901,"Sawyer County, Wisconsin",55,113
16895,"Hale County, Alabama",01,065
14453,"Park County, Colorado",08,093
145873,"Hawaii County, Hawaii",15,001
14221,"Cass County, Iowa",19,029
25052,"Letcher County, Kentucky",21,133
295106,"Anoka County, Minnesota",27,003
23030,"Ray County, Missouri",29,177
64781,"Valencia County, New Mexico",35,061
71790,"Jefferson County, Ohio",39,081
63960,"Greenwood County, South Carolina",45,047
16490,"Falls County, Texas",48,145
19116,"Fluvanna County, Virginia",51,065
39764,"Shawano County, Wisconsin",55,115
49069,"Russell County, Alabama",01,113
105318,"Windham County, Connecticut",09,015
11253,"Franklin County, Idaho",16,041
11088,"Guthrie County, Iowa",19,077
36772,"Nelson County, Kentucky",21,179
6090,"Grant County, Minnesota",27,051
2333,"Worth County, Missouri",29,227
2426027,"Kings County, New York",36,047
46230,"Pickaway County, Ohio",39,129
16580,"Beadle County, South Dakota",46,005
7994,"Hamilton County, Texas",48,193
12301,"Madison County, Virginia",51,113
78307,"Laramie County, Wyoming",56,021
164497,"Pinal County, Arizona",04,021
56976,"Nassau County, Florida",12,089
20028,"Fayette County, Illinois",17,051
12017,"Union County, Iowa",19,175
33662,"Evangeline Parish, Louisiana",22,039
9098,"Stevens County, Minnesota",27,149
33514,"Silver Bow County, Montana",30,093
72419,"Brunswick County, North Carolina",37,019
44682,"Grady County, Oklahoma",40,051
9803,"Roberts County, South Dakota",46,109
65113,"Liberty County, Texas",48,291
46732,"Danville city, Virginia",51,590
44249,"Isabela Municipio, Puerto Rico",72,071
95230,"Navajo County, Arizona",04,017
2207391,"Miami-Dade County, Florida",12,086
6899,"Edwards County, Illinois",17,047
17609,"Tama County, Iowa",19,171
8364,"East Carroll Parish, Louisiana",22,035
125831,"Stearns County, Minnesota",27,145
10033,"Sanders County, Montana",30,089
19575,"Bertie County, North Carolina",37,015
56088,"Garfield County, Oklahoma",40,047
142950,"Minnehaha County, South Dakota",46,099
15035,"Lee County, Texas",48,287
16663,"Colonial Heights city, Virginia",51,570
16428,"Hormigueros Municipio, Puerto Rico",72,067
9661,"Nevada County, Arkansas",05,099
233259,"Clayton County, Georgia",13,063
29778,"Randolph County, Illinois",17,157
2050,"Hodgeman County, Kansas",20,083
53946,"Oxford County, Maine",23,017
74405,"Lee County, Mississippi",28,081
3050,"Hitchcock County, Nebraska",31,087
85293,"Nash County, North Carolina",37,127
73148,"Benton County, Oregon",41,003
19544,"Haywood County, Tennessee",47,075
15728,"Robertson County, Texas",48,395
47074,"Mason County, Washington",53,045
20036,"Polk County, Arkansas",05,113
88428,"Coweta County, Georgia",13,077
5481,"Scott County, Illinois",17,171
3170,"Kiowa County, Kansas",20,097
184283,"York County, Maine",23,031
37599,"Monroe County, Mississippi",28,095
8775,"Keith County, Nebraska",31,101
39918,"Pender County, North Carolina",37,141
114146,"Deschutes County, Oregon",41,017
42632,"Jefferson County, Tennessee",47,089
5617,"San Saba County, Texas",48,411
9808,"Skamania County, Washington",53,059
9136,"Montgomery County, Arkansas",05,097
3300,"Clay County, Georgia",13,061
6075,"Putnam County, Illinois",17,155
4272,"Haskell County, Kansas",20,081
33225,"Lincoln County, Maine",23,015
20185,"Leake County, Mississippi",28,079
1068,"Hayes County, Nebraska",31,085
73107,"Moore County, North Carolina",37,125
16319,"Baker County, Oregon",41,001
53100,"Hawkins County, Tennessee",47,073
887,"Roberts County, Texas",48,393
10059,"Lincoln County, Washington",53,043
8542,"Newton County, Arkansas",05,101
6519,"Clinch County, Georgia",13,065
15999,"Richland County, Illinois",17,159
446108,"Johnson County, Kansas",20,091
138456,"Penobscot County, Maine",23,019
34987,"Leflore County, Mississippi",28,083
11326,"Holt County, Nebraska",31,089
156041,"New Hanover County, North Carolina",37,129
335513,"Clackamas County, Oregon",41,005
25170,"Henderson County, Tennessee",47,077
42463,"Rockwall County, Texas",48,397
38713,"Okanogan County, Washington",53,047
207699,"Merced County, California",06,047
12588,"Jeff Davis County, Georgia",13,161
31817,"Gibson County, Indiana",18,051
6626,"Sherman County, Kansas",20,181
30747,"Alpena County, Michigan",26,007
16932,"Benton County, Missouri",29,015
13873,"York County, Nebraska",31,185
3547,"Dunn County, North Dakota",38,025
418757,"Chester County, Pennsylvania",42,029
17670,"Union County, Tennessee",47,173
7038,"Winkler County, Texas",48,495
14772,"Morgan County, West Virginia",54,065
8347,"Conejos County, Colorado",08,021
9065,"Seminole County, Georgia",13,253
252145,"St. Joseph County, Indiana",18,141
11484,"Edmonson County, Kentucky",21,061
11746,"Mackinac County, Michigan",26,097
32136,"Laclede County, Missouri",29,105
292981,"Somerset County, New Jersey",34,035
53985,"Athens County, Ohio",39,009
32931,"Union County, Pennsylvania",42,119
43835,"Cherokee County, Texas",48,073
25570,"Orleans County, Vermont",50,019
33139,"Green County, Wisconsin",55,045
159897,"Shasta County, California",06,089
21960,"Mitchell County, Georgia",13,205
45205,"Lawrence County, Indiana",18,093
29284,"Bell County, Kentucky",21,013
430794,"Genesee County, Michigan",26,049
7803,"Dade County, Missouri",29,057
32465,"Coos County, New Hampshire",33,007
8398,"Pembina County, North Dakota",38,067
456302,"Lancaster County, Pennsylvania",42,071
24803,"Bee County, Texas",48,025
7129,"Morgan County, Utah",49,029
86635,"Wood County, West Virginia",54,107
55034,"Tehama County, California",06,103
25985,"Oconee County, Georgia",13,219
36424,"Montgomery County, Indiana",18,107
18375,"Breckinridge County, Kentucky",21,027
35397,"Huron County, Michigan",26,063
92803,"Franklin County, Missouri",29,071
246058,"Atlantic County, New Jersey",34,001
4337,"Sargent County, North Dakota",38,081
113931,"Mercer County, Pennsylvania",42,085
230806,"Brazoria County, Texas",48,039
18415,"Sevier County, Utah",49,041
13632,"Buffalo County, Wisconsin",55,011
12780,"Trinity County, California",06,105
12519,"Oglethorpe County, Georgia",13,221
65993,"Morgan County, Indiana",18,109
31181,"Calloway County, Kentucky",21,035
262493,"Ingham County, Michigan",26,065
15035,"Gasconade County, Missouri",29,073
872769,"Bergen County, New Jersey",34,003
1690,"Sheridan County, North Dakota",38,083
45796,"Mifflin County, Pennsylvania",42,087
139070,"Brazos County, Texas",48,041
29680,"Summit County, Utah",49,043
15414,"Burnett County, Wisconsin",55,013
361980,"Tulare County, California",06,107
81166,"Paulding County, Georgia",13,223
14376,"Newton County, Indiana",18,111
61005,"Bullitt County, Kentucky",21,029
55729,"Ionia County, Michigan",26,067
6659,"Gentry County, Missouri",29,075
409222,"Burlington County, New Jersey",34,005
3980,"Sioux County, North Dakota",38,085
134847,"Monroe County, Pennsylvania",42,089
8466,"Brewster County, Texas",48,043
39407,"Tooele County, Utah",49,045
40271,"Calumet County, Wisconsin",55,015
49665,"Tuolumne County, California",06,109
22594,"Peach County, Georgia",13,225
45613,"Noble County, Indiana",18,113
12772,"Butler County, Kentucky",21,031
26944,"Iosco County, Michigan",26,069
228560,"Greene County, Missouri",29,077
498526,"Camden County, New Jersey",34,007
767,"Slope County, North Dakota",38,087
726840,"Montgomery County, Pennsylvania",42,091
1790,"Briscoe County, Texas",48,045
358991,"Utah County, Utah",49,049
54118,"Chippewa County, Wisconsin",55,017
360443,"Adams County, Colorado",08,001
22771,"Pickens County, Georgia",13,227
5577,"Ohio County, Indiana",18,115
12827,"Caldwell County, Kentucky",21,033
12563,"Iron County, Michigan",26,071
10079,"Grundy County, Missouri",29,079
99670,"Cape May County, New Jersey",34,009
21765,"Stark County, North Dakota",38,089
17233,"Montour County, Pennsylvania",42,093
7904,"Brooks County, Texas",48,047
15091,"Wasatch County, Utah",49,051
32934,"Clark County, Wisconsin",55,019
14879,"Chaffee County, Colorado",08,015
69009,"Rockdale County, Georgia",13,247
27090,"Randolph County, Indiana",18,135
9253,"Crittenden County, Kentucky",21,055
93744,"Lenawee County, Michigan",26,091
196069,"Jefferson County, Missouri",29,099
503025,"Ocean County, New Jersey",34,029
102360,"Allen County, Ohio",39,003
6113,"Sullivan County, Pennsylvania",42,113
29959,"Cass County, Texas",48,067
6901,"Grand Isle County, Vermont",50,013
93040,"Fond du Lac County, Wisconsin",55,039
2201,"Cheyenne County, Colorado",08,017
3755,"Schley County, Georgia",13,249
26170,"Ripley County, Indiana",18,137
7039,"Cumberland County, Kentucky",21,057
155270,"Livingston County, Michigan",26,093
44914,"Johnson County, Missouri",29,101
479073,"Passaic County, New Jersey",34,031
50295,"Ashland County, Ohio",39,005
41804,"Susquehanna County, Pennsylvania",42,115
8220,"Castro County, Texas",48,069
22636,"Lamoille County, Vermont",50,015
9662,"Forest County, Wisconsin",55,041
9280,"Clear Creek County, Colorado",08,019
15065,"Screven County, Georgia",13,251
17982,"Rush County, Indiana",18,139
88950,"Daviess County, Kentucky",21,059
5965,"Luce County, Michigan",26,095
4271,"Knox County, Missouri",29,103
63063,"Salem County, New Jersey",34,033
100963,"Ashtabula County, Ohio",39,007
39486,"Tioga County, Pennsylvania",42,117
25797,"Chambers County, Texas",48,071
27580,"Orange County, Vermont",50,017
46323,"Grant County, Wisconsin",55,043
3663,"Costilla County, Colorado",08,023
57544,"Spalding County, Georgia",13,255
22752,"Scott County, Indiana",18,143
6691,"Elliott County, Kentucky",21,063
779288,"Macomb County, Michigan",26,099
32023,"Lafayette County, Missouri",29,107
142479,"Sussex County, New Jersey",34,037
45510,"Auglaize County, Ohio",39,011
55735,"Venango County, Pennsylvania",42,121
5934,"Childress County, Texas",48,075
61388,"Rutland County, Vermont",50,021
18746,"Green Lake County, Wisconsin",55,047
3522,"Crowley County, Colorado",08,025
24494,"Stephens County, Georgia",13,257
42777,"Shelby County, Indiana",18,145
15168,"Estill County, Kentucky",21,065
23363,"Manistee County, Michigan",26,101
34576,"Lawrence County, Missouri",29,109
514733,"Union County, New Jersey",34,039
67078,"Belmont County, Ohio",39,013
42794,"Warren County, Pennsylvania",42,123
10912,"Clay County, Texas",48,077
